0,0,-65
1,0,-65
2,0,-66
3,0,-63
4,0,-61
5,0,-63
6,0,-64
7,0,-61
8,0,-62
9,0,-66
10,0,-62
11,0,-64
12,0,-65
13,0,-63
14,0,-66
15,0,-63
16,0,-64
17,0,-64
18,0,-64
19,0,-64
20,0,-65
21,0,-66
22,0,-66
23,0,-63
24,0,-59
25,0,-65
26,0,-65
27,0,-61
28,0,-64
29,0,-58
30,0,-58
31,0,-63
32,0,-62
33,0,-62
34,0,-64
35,0,-64
36,0,-65
37,0,-66
38,0,-65
39,0,-64
40,0,-64
41,0,-62
42,0,-64
43,0,-65
44,0,-64
45,0,-51
46,0,-64
47,0,-64
48,0,-64
49,0,-66
50,0,-64
51,0,-62
52,0,-64
53,0,-66
54,0,-62
55,0,-65
56,0,-66
57,0,-62
58,0,-64
59,0,-62
60,0,-64
61,0,-65
62,0,-60
63,0,-66
64,0,-63
65,0,-63
66,0,-65
67,0,-64
68,0,-65
69,0,-59
70,0,-63
71,0,-64
72,0,-64
73,0,-65
74,0,-64
75,0,-56
76,0,-65
77,0,-64
78,0,-66
79,0,-58
80,0,-63
81,0,-64
82,0,-63
83,0,-64
84,0,-66
85,0,-63
86,0,-60
87,0,-63
88,0,-61
89,0,-62
90,0,-58
91,0,-66
92,0,-63
93,0,-62
94,0,-43
95,0,-63
96,0,-56
97,0,-66
98,0,-56
99,0,-54
100,0,-64
101,0,-66
102,0,-63
103,0,-64
104,0,-51
105,0,-50
106,0,-52
107,0,-66
108,0,-62
109,0,-64
110,0,-59
111,0,-64
112,0,-58
113,0,-57
114,0,-28
115,0,-66
116,0,-58
117,0,-62
118,0,-62
119,0,-61
120,0,-62
121,0,-63
122,0,-63
123,0,-63
124,0,-61
125,0,-60
126,0,-60
127,0,-56
128,0,-50
129,0,-57
130,0,-53
131,0,-61
132,0,-58
133,0,-57
134,0,-63
135,0,-59
136,0,-60
137,0,-63
138,0,-59
139,0,-49
140,0,-44
141,0,-29
142,0,-56
143,0,-61
144,0,-59
145,0,-47
146,0,-64
147,0,-63
148,0,-33
149,0,-63
150,0,-47
151,0,-54
152,0,-39
153,0,-53
154,0,-60
155,0,-55
156,0,-51
157,0,-62
158,0,-52
159,0,-61
160,0,-62
161,0,-42
162,0,-61
163,0,-58
164,0,-59
165,0,-50
166,0,-55
167,0,-61
168,0,-53
169,0,-59
170,0,-64
171,0,-55
172,0,-54
173,0,-56
174,0,-50
175,0,-52
176,0,-52
177,0,-46
178,0,-53
179,0,-57
180,0,-64
181,0,-43
182,0,-29
183,0,-53
184,0,-52
